did,oid,eid,sid,ent,npollutant_K,vpollutant,vpollutant_D
182121,182121,,0,1,0.0,396.013074549114,-1.0
182121,182121,,0,1,1.0,2.08669398100342,-1.0
182121,182121,,0,1,2.0,30.7170615406056,-1.0
182121,182121,,1,1,0.0,394.642019176263,-1.0
182121,182121,,1,1,1.0,1.92647318543176,-1.0
182121,182121,,1,1,2.0,30.2715097780808,-1.0
182121,182121,,2,1,0.0,1.01518256968558,-1.0
182121,182121,,2,1,1.0,0.13336879626289,-1.0
182121,182121,,2,1,2.0,0.393810962203146,-1.0
182121,182121,,3,1,0.0,0.0,-1.0
182121,182121,,3,1,1.0,0.0,-1.0
182121,182121,,3,1,2.0,0.0,-1.0
182121,182121,,4,1,0.0,0.0,-1.0
182121,182121,,4,1,1.0,0.0,-1.0
182121,182121,,4,1,2.0,0.0,-1.0
182121,182121,,5,1,0.0,0.355872803169489,-1.0
182121,182121,,5,1,1.0,0.0268519993077032,-1.0
182121,182121,,5,1,2.0,0.0517408003211021,-1.0
182121,182121,,0,2,0.0,185.475632548466,-1.0
182121,182121,,0,2,1.0,1.04437035040761,-1.0
182121,182121,,0,2,2.0,14.6222130455426,-1.0
182121,182121,,1,2,0.0,184.352833256465,-1.0
182121,182121,,1,2,1.0,0.903015554480087,-1.0
182121,182121,,1,2,2.0,14.2020674424919,-1.0
182121,182121,,2,2,0.0,0.898695289999244,-1.0
182121,182121,,2,2,1.0,0.124017596361041,-1.0
182121,182121,,2,2,2.0,0.387369602912666,-1.0
182121,182121,,3,2,0.0,0.0,-1.0
182121,182121,,3,2,1.0,0.0,-1.0
182121,182121,,3,2,2.0,0.0,-1.0
182121,182121,,4,2,0.0,0.0,-1.0
182121,182121,,4,2,1.0,0.0,-1.0
182121,182121,,4,2,2.0,0.0,-1.0
182121,182121,,5,2,0.0,0.224104002007842,-1.0
182121,182121,,5,2,1.0,0.0173371995662805,-1.0
182121,182121,,5,2,2.0,0.032776000136137,-1.0
182121,182121,,0,3,0.0,68.4924941615353,-1.0
182121,182121,,0,3,1.0,0.45649033035635,-1.0
182121,182121,,0,3,2.0,5.62718604015115,-1.0
182121,182121,,1,3,0.0,67.6951303925246,-1.0
182121,182121,,1,3,1.0,0.349686733479277,-1.0
182121,182121,,1,3,2.0,5.30390107762692,-1.0
182121,182121,,2,3,0.0,0.656022967371345,-1.0
182121,182121,,2,3,1.0,0.0925639972768725,-1.0
182121,182121,,2,3,2.0,0.289494562228025,-1.0
182121,182121,,3,3,0.0,0.0,-1.0
182121,182121,,3,3,1.0,0.0,-1.0
182121,182121,,3,3,2.0,0.0,-1.0
182121,182121,,4,3,0.0,0.0,-1.0
182121,182121,,4,3,1.0,0.0,-1.0
182121,182121,,4,3,2.0,0.0,-1.0
182121,182121,,5,3,0.0,0.141340801638365,-1.0
182121,182121,,5,3,1.0,0.0142395996004809,-1.0
182121,182121,,5,3,2.0,0.0337904002964497,-1.0
182121,182121,,0,4,0.0,26.9170756526234,-1.0
182121,182121,,0,4,1.0,0.222393203712356,-1.0
182121,182121,,0,4,2.0,2.29904147174309,-1.0
182121,182121,,1,4,0.0,26.2258324458336,-1.0
182121,182121,,1,4,1.0,0.139291606049681,-1.0
182121,182121,,1,4,2.0,2.07041387031841,-1.0
182121,182121,,2,4,0.0,0.527819205313922,-1.0
182121,182121,,2,4,1.0,0.0701631979838013,-1.0
182121,182121,,2,4,2.0,0.204187601338327,-1.0
182121,182121,,3,4,0.0,0.0,-1.0
182121,182121,,3,4,1.0,0.0,-1.0
182121,182121,,3,4,2.0,0.0,-1.0
182121,182121,,4,4,0.0,0.0,-1.0
182121,182121,,4,4,1.0,0.0,-1.0
182121,182121,,4,4,2.0,0.0,-1.0
182121,182121,,5,4,0.0,0.163424001476169,-1.0
182121,182121,,5,4,1.0,0.0129383996788412,-1.0
182121,182121,,5,4,2.0,0.0244400000870228,-1.0
182121,182121,,0,5,0.0,23.4788304920123,-1.0
182121,182121,,0,5,1.0,0.209160402940077,-1.0
182121,182121,,0,5,2.0,2.05023163826106,-1.0
182121,182121,,1,5,0.0,22.7389348851401,-1.0
182121,182121,,1,5,1.0,0.122689205358754,-1.0
